,clean_title,title,homepage,id
0,10 things i hate about you,10 Things I Hate About You,Not available,4951
1,12 angry men,12 Angry Men,Not available,389
2,2001 a space odyssey,2001: A Space Odyssey,Not available,62
3,28 days later,28 Days Later,Not available,170
4,300,300,http://300themovie.warnerbros.com,1271
5,a beautiful mind,A Beautiful Mind,http://www.abeautifulmind.com/,453
6,a bugs life,A Bug's Life,http://movies.disney.com/a-bugs-life,9487
7,a christmas story,A Christmas Story,Not available,850
8,a clockwork orange,A Clockwork Orange,Not available,185
9,a close shave,A Close Shave,http://www.wallaceandgromit.com/films/a-close-shave,532
10,a few good men,A Few Good Men,http://www.sonypictures.com/movies/afewgoodmen/,881
11,a fish called wanda,A Fish Called Wanda,Not available,623
12,a league of their own,A League of Their Own,Not available,11287
13,ai artificial intelligence,A.I. Artificial Intelligence,Not available,644
14,about a boy,About a Boy,http://movies.uip.de/aboutaboy/,245
15,ace ventura pet detective,Ace Ventura: Pet Detective,Not available,3049
16,ace ventura when nature calls,Ace Ventura: When Nature Calls,Not available,9273
17,addams family values,Addams Family Values,Not available,2758
18,air force one,Air Force One,Not available,9772
19,airplane,Airplane!,Not available,813
20,aladdin,Aladdin,http://movies.disney.com/aladdin,812
21,alien,Alien,https://www.facebook.com/alienanthology/,348
22,aliens,Aliens,Not available,679
23,alien,Alien³,Not available,8077
24,almost famous,Almost Famous,Not available,786
25,amadeus,Amadeus,Not available,279
26,american beauty,American Beauty,http://www.dreamworks.com/ab/,14
27,american history x,American History X,http://www.historyx.com/,73
28,american pie,American Pie,Not available,2105
29,american psycho,American Psycho,Not available,1359
30,amlie,Amélie,http://www.die-fabelhafte-welt-der-amelie.de,194
31,analyze this,Analyze This,Not available,9535
32,animal house,Animal House,http://www.animalhouse.com/,8469
33,annie hall,Annie Hall,Not available,703
34,antz,Antz,Not available,8916
35,apocalypse now,Apocalypse Now,http://www.apocalypsenow.com,28
36,apollo 13,Apollo 13,Not available,568
37,arachnophobia,Arachnophobia,Not available,6488
38,armageddon,Armageddon,Not available,95
39,army of darkness,Army of Darkness,Not available,766
40,as good as it gets,As Good as It Gets,Not available,2898
41,austin powers international man of mystery,Austin Powers: International Man of Mystery,Not available,816
42,austin powers the spy who shagged me,Austin Powers: The Spy Who Shagged Me,Not available,817
43,avatar,Avatar,http://www.avatarmovie.com/,19995
44,babe,Babe,Not available,9598
45,back to the future,Back to the Future,http://www.backtothefuture.com/movies/backtothefuture1,105
46,back to the future part ii,Back to the Future Part II,http://www.backtothefuture.com/movies/backtothefuture2,165
47,back to the future part iii,Back to the Future Part III,http://www.backtothefuture.com/movies/backtothefuture3,196
48,basic instinct,Basic Instinct,https://www.sonymoviechannel.com/movies/basic-instinct,402
49,batman,Batman,Not available,268
50,batman begins,Batman Begins,http://www2.warnerbros.com/batmanbegins/index.html,272
51,batman forever,Batman Forever,Not available,414
52,batman returns,Batman Returns,Not available,364
53,beauty and the beast,Beauty and the Beast,http://disney.go.com/disneyvideos/animatedfilms/beauty/?cmp=dcom_VAN_WDSHE_BEA_van_batb__Extl,10020
54,beetlejuice,Beetlejuice,Not available,4011
55,being john malkovich,Being John Malkovich,Not available,492
56,best in show,Best in Show,Not available,13785
57,beverly hills cop,Beverly Hills Cop,Not available,90
58,beverly hills cop iii,Beverly Hills Cop III,Not available,306
59,big,Big,Not available,2280
60,big fish,Big Fish,Not available,587
61,blade,Blade,http://www.warnerbros.com/blade,36647
62,blade runner,Blade Runner,http://www.warnerbros.com/blade-runner,78
63,blazing saddles,Blazing Saddles,Not available,11072
64,bonnie and clyde,Bonnie and Clyde,Not available,475
65,boogie nights,Boogie Nights,Not available,4995
66,bowfinger,Bowfinger,Not available,11353
67,bowling for columbine,Bowling for Columbine,http://www.bowlingforcolumbine.com/index.php,1430
68,braveheart,Braveheart,Not available,197
69,brazil,Brazil,Not available,68
70,bridget joness diary,Bridget Jones's Diary,Not available,634
71,broken arrow,Broken Arrow,Not available,9208
72,bruce almighty,Bruce Almighty,http://www.brucealmighty.com/,310
73,butch cassidy and the sundance kid,Butch Cassidy and the Sundance Kid,Not available,642
74,caddyshack,Caddyshack,Not available,11977
75,casablanca,Casablanca,Not available,289
76,casino,Casino,Not available,524
77,casino royale,Casino Royale,Not available,12208
78,casper,Casper,Not available,8839
79,cast away,Cast Away,Not available,8358
80,catch me if you can,Catch Me If You Can,https://www.facebook.com/CatchMeIfYouCanMovie,640
81,charlies angels,Charlie's Angels,Not available,4327
82,chasing amy,Chasing Amy,http://www.viewaskew.com/chasingamy/,2255
83,chicago,Chicago,Not available,1574
84,chicken run,Chicken Run,Not available,7443
85,chinatown,Chinatown,Not available,829
86,cinderella,Cinderella,http://movies.disney.com/cinderella-1950,11224
87,citizen kane,Citizen Kane,Not available,15
88,city slickers ii the legend of curlys gold,City Slickers II: The Legend of Curly's Gold,Not available,11310
89,city of god,City of God,http://cidadededeus.globo.com/,598
90,clear and present danger,Clear and Present Danger,Not available,9331
91,clerks,Clerks,http://www.miramax.com/movie/clerks/,2292
92,cliffhanger,Cliffhanger,Not available,9350
93,close encounters of the third kind,Close Encounters of the Third Kind,Not available,840
94,clueless,Clueless,Not available,9603
95,con air,Con Air,Not available,1701
96,coneheads,Coneheads,Not available,9612
97,congo,Congo,Not available,10329
98,contact,Contact,http://www.warnerbros.com/contact,686
99,crimson tide,Crimson Tide,Not available,8963
100,crocodile dundee,Crocodile Dundee,Not available,9671
101,crouching tiger hidden dragon,"Crouching Tiger, Hidden Dragon",Not available,146
102,cruel intentions,Cruel Intentions,Not available,796
103,dances with wolves,Dances with Wolves,Not available,581
104,dark city,Dark City,Not available,2666
105,das boot,Das Boot,http://www.dasboot.com,387
106,dave,Dave,Not available,11566
107,dead man walking,Dead Man Walking,Not available,687
108,dead poets society,Dead Poets Society,Not available,207
109,demolition man,Demolition Man,http://www.warnerbros.com/demolition-man,9739
110,desperado,Desperado,Not available,8068
111,die hard,Die Hard,Not available,562
112,die hard 2,Die Hard 2,Not available,1573
113,die hard with a vengeance,Die Hard: With a Vengeance,Not available,1572
114,dirty dancing,Dirty Dancing,http://lionsgateathome.com/dirty-dancing,88
115,disclosure,Disclosure,Not available,8984
116,district 9,District 9,http://www.d-9.com/,17654
117,dogma,Dogma,http://www.dogma-movie.com/,1832
118,donnie darko,Donnie Darko,Not available,141
119,dr strangelove or how i learned to stop worrying and love the bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Not available,935
120,dracula,Dracula,Not available,6114
121,dragonheart,DragonHeart,Not available,8840
122,dumb and dumber,Dumb and Dumber,Not available,8467
123,et the extraterrestrial,E.T. the Extra-Terrestrial,http://www.et20.com/,601
124,ed wood,Ed Wood,Not available,522
125,edward scissorhands,Edward Scissorhands,Not available,162
126,election,Election,Not available,9451
127,enemy of the state,Enemy of the State,Not available,9798
128,eraser,Eraser,http://www.warnerbros.com/eraser,9268
129,erin brockovich,Erin Brockovich,http://www.brockovich.com/movie.html,462
130,eternal sunshine of the spotless mind,Eternal Sunshine of the Spotless Mind,http://www.eternalsunshine.com,38
131,executive decision,Executive Decision,Not available,2320
132,eyes wide shut,Eyes Wide Shut,http://eyeswideshut.warnerbros.com/,345
133,faceoff,Face/Off,Not available,754
134,fantasia,Fantasia,http://movies.disney.com/fantasia,756
135,fargo,Fargo,http://www.themoviefargo.com/,275
136,fast times at ridgemont high,Fast Times at Ridgemont High,Not available,13342
137,father of the bride part ii,Father of the Bride Part II,Not available,11862
138,ferris buellers day off,Ferris Bueller's Day Off,Not available,9377
139,field of dreams,Field of Dreams,Not available,2323
140,fight club,Fight Club,http://www.foxmovies.com/movies/fight-club,550
141,finding nemo,Finding Nemo,http://movies.disney.com/finding-nemo,12
142,forrest gump,Forrest Gump,Not available,13
143,four weddings and a funeral,Four Weddings and a Funeral,http://workingtitlefilms.com/film.php?filmID=59,712
144,french kiss,French Kiss,Not available,397
145,full metal jacket,Full Metal Jacket,Not available,600
146,galaxy quest,Galaxy Quest,Not available,926
147,garden state,Garden State,http://www2.foxsearchlight.com/gardenstate/,401
148,gattaca,Gattaca,Not available,782
149,get shorty,Get Shorty,Not available,8012
150,ghost,Ghost,Not available,251
151,ghostbusters,Ghostbusters,http://www.ghostbusters.com/,620
152,gladiator,Gladiator,Not available,98
153,glory,Glory,Not available,9665
154,go,Go,Not available,9430
155,goldeneye,GoldenEye,http://www.mgm.com/view/movie/757/Goldeneye/,710
156,goldfinger,Goldfinger,http://www.mgm.com/view/movie/760/Goldfinger/,658
157,gone in sixty seconds,Gone in Sixty Seconds,Not available,9679
158,gone with the wind,Gone with the Wind,Not available,770
159,good morning vietnam,"Good Morning, Vietnam",Not available,801
160,good will hunting,Good Will Hunting,http://www.miramax.com/movie/good-will-hunting,489
161,goodfellas,GoodFellas,http://www.warnerbros.com/goodfellas,769
162,grease,Grease,Not available,621
163,grosse pointe blank,Grosse Pointe Blank,Not available,9434
164,groundhog day,Groundhog Day,Not available,137
165,grumpier old men,Grumpier Old Men,Not available,15602
166,happy gilmore,Happy Gilmore,Not available,9614
167,harry potter and the chamber of secrets,Harry Potter and the Chamber of Secrets,Not available,672
168,harry potter and the goblet of fire,Harry Potter and the Goblet of Fire,http://harrypotter.warnerbros.com/,674
169,harry potter and the philosophers stone,Harry Potter and the Philosopher's Stone,http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html,671
170,harry potter and the prisoner of azkaban,Harry Potter and the Prisoner of Azkaban,Not available,673
171,heat,Heat,Not available,949
172,heathers,Heathers,Not available,2640
173,high fidelity,High Fidelity,Not available,243
174,home alone,Home Alone,https://www.foxconnect.com/home-alone-4.html,771
175,honey i shrunk the kids,"Honey, I Shrunk the Kids",Not available,9354
176,hoop dreams,Hoop Dreams,Not available,14275
177,hot shots part deux,Hot Shots! Part Deux,Not available,9255
178,i robot,"I, Robot",Not available,2048
179,ice age,Ice Age,http://www.iceagemovies.com/films/ice-age,425
180,in the line of fire,In the Line of Fire,Not available,9386
181,inception,Inception,http://inceptionmovie.warnerbros.com/,27205
182,independence day,Independence Day,Not available,602
183,indiana jones and the last crusade,Indiana Jones and the Last Crusade,http://www.indianajones.com/crusade,89
184,indiana jones and the temple of doom,Indiana Jones and the Temple of Doom,http://www.indianajones.com,87
185,inglourious basterds,Inglourious Basterds,http://www.inglouriousbasterds-movie.com/,16869
186,interview with the vampire,Interview with the Vampire,Not available,628
187,iron man,Iron Man,http://www.ironmanmovie.com/,1726
188,its a wonderful life,It's a Wonderful Life,Not available,1585
189,jackie brown,Jackie Brown,Not available,184
190,james and the giant peach,James and the Giant Peach,http://movies.disney.com/james-and-the-giant-peach,10539
191,jaws,Jaws,http://www.jaws25.com/,578
192,jerry maguire,Jerry Maguire,Not available,9390
193,judge dredd,Judge Dredd,Not available,9482
194,jumanji,Jumanji,Not available,8844
195,juno,Juno,http://www.foxsearchlight.com/juno/,7326
196,jurassic park,Jurassic Park,http://www.jurassicpark.com/,329
197,kill bill vol 1,Kill Bill: Vol. 1,http://www.miramax.com/movie/kill-bill-volume-1/,24
198,kill bill vol 2,Kill Bill: Vol. 2,Not available,393
199,kingpin,Kingpin,Not available,11543
200,la confidential,L.A. Confidential,Not available,2118
201,lady and the tramp,Lady and the Tramp,Not available,10340
202,last action hero,Last Action Hero,Not available,9593
203,lawrence of arabia,Lawrence of Arabia,Not available,947
204,leaving las vegas,Leaving Las Vegas,http://www.mgm.com/title_title.do?title_star=LEAVINGL,451
205,legends of the fall,Legends of the Fall,Not available,4476
206,leon the professional,Leon: The Professional,Not available,101
207,lethal weapon,Lethal Weapon,Not available,941
208,lethal weapon 2,Lethal Weapon 2,Not available,942
209,liar liar,Liar Liar,Not available,1624
210,life is beautiful,Life Is Beautiful,Not available,637
211,life of brian,Life of Brian,Not available,583
212,like water for chocolate,Like Water for Chocolate,http://www.miramax.com/movie/like-water-for-chocolate/,18183
213,little miss sunshine,Little Miss Sunshine,http://www.foxsearchlight.com/littlemisssunshine/,773
214,little women,Little Women,Not available,9587
215,lock stock and two smoking barrels,"Lock, Stock and Two Smoking Barrels",http://www.universalstudiosentertainment.com/lock-stock-and-two-smoking-barrels/,100
216,lost in translation,Lost in Translation,Not available,153
217,love actually,Love Actually,http://www.loveactually.com/,508
218,mash,M*A*S*H,Not available,651
219,magnolia,Magnolia,http://www.magnoliamovie.com/,334
220,manhattan,Manhattan,Not available,696
221,mars attacks,Mars Attacks!,http://marsattacks.warnerbros.com/,75
222,mary poppins,Mary Poppins,Not available,433
223,maverick,Maverick,Not available,9359
224,meet the parents,Meet the Parents,Not available,1597
225,memento,Memento,http://www.otnemem.com/,77
226,men in black,Men in Black,http://www.sonypictures.com/homevideo/meninblack/,607
227,mighty aphrodite,Mighty Aphrodite,Not available,11448
228,million dollar baby,Million Dollar Baby,http://www.milliondollarbaby-derfilm.de/,70
229,minority report,Minority Report,Not available,180
230,miss congeniality,Miss Congeniality,Not available,1493
231,mission impossible,Mission: Impossible,http://www.missionimpossible.com/,954
232,mission impossible ii,Mission: Impossible II,http://www.missionimpossible.com/,955
233,monsters inc,"Monsters, Inc.",http://movies.disney.com/monsters-inc,585
234,monty python and the holy grail,Monty Python and the Holy Grail,http://www.sonypictures.com/cthe/montypython/,762
235,moulin rouge,Moulin Rouge!,Not available,824
236,mr hollands opus,Mr. Holland's Opus,Not available,2054
237,mrs doubtfire,Mrs. Doubtfire,Not available,788
238,much ado about nothing,Much Ado About Nothing,Not available,11971
239,muriels wedding,Muriel's Wedding,Not available,236
240,my best friends wedding,My Best Friend's Wedding,Not available,8874
241,my big fat greek wedding,My Big Fat Greek Wedding,Not available,8346
242,my cousin vinny,My Cousin Vinny,Not available,10377
243,my fair lady,My Fair Lady,Not available,11113
244,natural born killers,Natural Born Killers,Not available,241
245,north by northwest,North by Northwest,Not available,213
246,notting hill,Notting Hill,http://www.notting-hill.com/,509
247,o brother where art thou,"O Brother, Where Art Thou?",Not available,134
248,oceans eleven,Ocean's Eleven,Not available,299
249,office space,Office Space,Not available,1542
250,one flew over the cuckoos nest,One Flew Over the Cuckoo's Nest,Not available,510
251,outbreak,Outbreak,Not available,6950
252,pans labyrinth,Pan's Labyrinth,http://www.panslabyrinth.com,1417
253,phenomenon,Phenomenon,Not available,9294
254,philadelphia,Philadelphia,Not available,9800
255,pinocchio,Pinocchio,Not available,10895
256,pirates of the caribbean dead mans chest,Pirates of the Caribbean: Dead Man's Chest,http://disney.go.com/disneypictures/pirates/,58
257,pirates of the caribbean the curse of the black pearl,Pirates of the Caribbean: The Curse of the Black Pearl,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,22
258,planet of the apes,Planet of the Apes,http://www.foxmovies.com/movies/planet-of-the-apes,871
259,platoon,Platoon,Not available,792
260,pleasantville,Pleasantville,Not available,2657
261,pocahontas,Pocahontas,Not available,10530
262,predator,Predator,Not available,106
263,pretty woman,Pretty Woman,Not available,114
264,primal fear,Primal Fear,Not available,1592
265,psycho,Psycho,Not available,539
266,pulp fiction,Pulp Fiction,Not available,680
267,quiz show,Quiz Show,Not available,11450
268,raging bull,Raging Bull,Not available,1578
269,raiders of the lost ark,Raiders of the Lost Ark,http://www.indianajones.com,85
270,rain man,Rain Man,Not available,380
271,raising arizona,Raising Arizona,Not available,378
272,ransom,Ransom,Not available,3595
273,ratatouille,Ratatouille,http://disney.go.com/disneypictures/ratatouille/,2062
274,rear window,Rear Window,Not available,567
275,requiem for a dream,Requiem for a Dream,http://www.requiemforadream.com/,641
276,reservoir dogs,Reservoir Dogs,Not available,500
277,return of the jedi,Return of the Jedi,http://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,1892
278,robin hood men in tights,Robin Hood: Men in Tights,Not available,8005
279,robocop,RoboCop,Not available,5548
280,rocky,Rocky,Not available,1366
281,romancing the stone,Romancing the Stone,Not available,9326
282,romeo  juliet,Romeo + Juliet,http://www.romeoandjuliet.com/,454
283,run lola run,Run Lola Run,Not available,104
284,rushmore,Rushmore,Not available,11545
285,sabrina,Sabrina,Not available,11860
286,saving private ryan,Saving Private Ryan,Not available,857
287,schindlers list,Schindler's List,http://www.schindlerslist.com/,424
288,school of rock,School of Rock,http://www.schoolofrockmovie.com/,1584
289,scream,Scream,Not available,4232
290,se7en,Se7en,http://www.sevenmovie.com/,807
291,sense and sensibility,Sense and Sensibility,Not available,4584
292,seven samurai,Seven Samurai,Not available,346
293,shakespeare in love,Shakespeare in Love,Not available,1934
294,shaun of the dead,Shaun of the Dead,Not available,747
295,shrek,Shrek,http://www.shrek.com/,808
296,shrek 2,Shrek 2,http://www.shrek2.com/,809
297,shutter island,Shutter Island,http://www.shutterisland.com/,11324
298,signs,Signs,Not available,2675
299,sin city,Sin City,http://www.miramax.com/movie/sin-city/,187
300,singin in the rain,Singin' in the Rain,Not available,872
301,sleepless in seattle,Sleepless in Seattle,Not available,858
302,sleepy hollow,Sleepy Hollow,Not available,2668
303,sling blade,Sling Blade,Not available,12498
304,slumdog millionaire,Slumdog Millionaire,http://www.foxsearchlight.com/slumdogmillionaire,12405
305,snatch,Snatch,Not available,107
306,sneakers,Sneakers,Not available,2322
307,snow white and the seven dwarfs,Snow White and the Seven Dwarfs,http://movies.disney.com/snow-white-and-the-seven-dwarfs,408
308,so i married an axe murderer,So I Married an Axe Murderer,Not available,10442
309,some like it hot,Some Like It Hot,Not available,239
310,south park bigger longer  uncut,"South Park: Bigger, Longer & Uncut",Not available,9473
311,space jam,Space Jam,http://www.warnerbros.com/archive/spacejam/movie/jam.htm,2300
312,spaceballs,Spaceballs,http://www.mgm.com/view/movie/1873/Spaceballs/,957
313,species,Species,Not available,9348
314,speed,Speed,Not available,1637
315,spiderman,Spider-Man,http://www.sonypictures.com/movies/spider-man/,557
316,spiderman 2,Spider-Man 2,http://www.sonypictures.com/movies/spider-man2/,558
317,spirited away,Spirited Away,http://movies.disney.com/spirited-away,129
318,splash,Splash,Not available,2619
319,stand by me,Stand by Me,Not available,235
320,star trek,Star Trek,Not available,13475
321,star trek ii the wrath of khan,Star Trek II: The Wrath of Khan,Not available,154
322,star trek iii the search for spock,Star Trek III: The Search for Spock,Not available,157
323,star trek iv the voyage home,Star Trek IV: The Voyage Home,Not available,168
324,star trek first contact,Star Trek: First Contact,http://www.startrek.com/startrek/view/series/MOV/008/index.html,199
325,star trek generations,Star Trek: Generations,Not available,193
326,star wars,Star Wars,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11
327,star wars episode i  the phantom menace,Star Wars: Episode I - The Phantom Menace,http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,1893
328,star wars episode ii  attack of the clones,Star Wars: Episode II - Attack of the Clones,http://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones,1894
329,star wars episode iii  revenge of the sith,Star Wars: Episode III - Revenge of the Sith,http://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,1895
330,stargate,Stargate,Not available,2164
331,starship troopers,Starship Troopers,Not available,563
332,superman,Superman,Not available,1924
333,taxi driver,Taxi Driver,Not available,103
334,terminator 2 judgment day,Terminator 2: Judgment Day,Not available,280
335,the 40 year old virgin,The 40 Year Old Virgin,http://www.universalstudiosentertainment.com/the-40-year-old-virgin/,6957
336,the abyss,The Abyss,Not available,2756
337,the african queen,The African Queen,Not available,488
338,the american president,The American President,Not available,9087
339,the big lebowski,The Big Lebowski,http://www.biglebowskibluray.com/splash.php,115
340,the birdcage,The Birdcage,Not available,11000
341,the birds,The Birds,Not available,571
342,the blair witch project,The Blair Witch Project,http://www.blairwitch.com/,2667
343,the blues brothers,The Blues Brothers,Not available,525
344,the bourne identity,The Bourne Identity,http://www.universalstudiosentertainment.com/the-bourne-identity/,2501
345,the bourne supremacy,The Bourne Supremacy,https://www.uphe.com/movies/the-bourne-supremacy,2502
346,the bourne ultimatum,The Bourne Ultimatum,http://www.universalstudiosentertainment.com/the-bourne-ultimatum/,2503
347,the breakfast club,The Breakfast Club,Not available,2108
348,the bridge on the river kwai,The Bridge on the River Kwai,Not available,826
349,the cable guy,The Cable Guy,Not available,9894
350,the client,The Client,Not available,10731
351,the crow,The Crow,Not available,9495
352,the crying game,The Crying Game,http://www.miramax.com/movie/the-crying-game/,11386
353,the dark knight,The Dark Knight,http://thedarkknight.warnerbros.com/dvdsite/,155
354,the departed,The Departed,http://thedeparted.warnerbros.com/,1422
355,the devils advocate,The Devil's Advocate,Not available,1813
356,the empire strikes back,The Empire Strikes Back,http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,1891
357,the english patient,The English Patient,Not available,409
358,the exorcist,The Exorcist,http://theexorcist.warnerbros.com/,9552
359,the fifth element,The Fifth Element,Not available,18
360,the firm,The Firm,Not available,37233
361,the fugitive,The Fugitive,Not available,5503
362,the full monty,The Full Monty,Not available,9427
363,the game,The Game,Not available,2649
364,the godfather,The Godfather,http://www.thegodfather.com/,238
365,the godfather part ii,The Godfather: Part II,Not available,240
366,the good the bad and the ugly,"The Good, the Bad and the Ugly","http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly",429
367,the goonies,The Goonies,Not available,9340
368,the graduate,The Graduate,Not available,37247
369,the green mile,The Green Mile,http://thegreenmile.warnerbros.com/,497
370,the hunt for red october,The Hunt for Red October,http://www.paramount.com/movies/hunt-red-october,1669
371,the incredibles,The Incredibles,http://disney.go.com/disneyvideos/animatedfilms/incredibles/main.html,9806
372,the italian job,The Italian Job,http://www.italianjobmovie.com/,9654
373,the jerk,The Jerk,Not available,6471
374,the lion king,The Lion King,http://movies.disney.com/the-lion-king,8587
375,the little mermaid,The Little Mermaid,Not available,10144
376,the lord of the rings the fellowship of the ring,The Lord of the Rings: The Fellowship of the Ring,http://www.lordoftherings.net/,120
377,the lord of the rings the return of the king,The Lord of the Rings: The Return of the King,http://www.lordoftherings.net,122
378,the lord of the rings the two towers,The Lord of the Rings: The Two Towers,http://www.lordoftherings.net/,121
379,the lost world jurassic park,The Lost World: Jurassic Park,Not available,330
380,the maltese falcon,The Maltese Falcon,Not available,963
381,the mask,The Mask,Not available,854
382,the mask of zorro,The Mask of Zorro,Not available,9342
383,the matrix,The Matrix,http://www.warnerbros.com/matrix,603
384,the matrix reloaded,The Matrix Reloaded,Not available,604
385,the matrix revolutions,The Matrix Revolutions,Not available,605
386,the mummy,The Mummy,http://www.mummyvideo.com/,564
387,the naked gun 33 the final insult,The Naked Gun 33⅓: The Final Insult,Not available,36593
388,the net,The Net,Not available,1642
389,the nightmare before christmas,The Nightmare Before Christmas,Not available,9479
390,the nutty professor,The Nutty Professor,Not available,9327
391,the patriot,The Patriot,Not available,2024
392,the perfect storm,The Perfect Storm,Not available,2133
393,the pianist,The Pianist,http://www.thepianistmovie.com/,423
394,the piano,The Piano,Not available,713
395,the prestige,The Prestige,http://wwws.warnerbros.de/theprestige/,1124
396,the princess bride,The Princess Bride,Not available,2493
397,the rock,The Rock,Not available,9802
398,the rocky horror picture show,The Rocky Horror Picture Show,http://www.rockyhorror.com/,36685
399,the royal tenenbaums,The Royal Tenenbaums,Not available,9428
400,the santa clause,The Santa Clause,Not available,11395
401,the shawshank redemption,The Shawshank Redemption,Not available,278
402,the shining,The Shining,Not available,694
403,the silence of the lambs,The Silence of the Lambs,Not available,274
404,the sixth sense,The Sixth Sense,Not available,745
405,the sound of music,The Sound of Music,Not available,15121
406,the sting,The Sting,Not available,9277
407,the talented mr ripley,The Talented Mr. Ripley,http://www.miramax.com/movie/the-talented-mr-ripley/,1213
408,the terminator,The Terminator,http://www.mgm.com/#/our-titles/1970/The-Terminator/,218
409,the three musketeers,The Three Musketeers,http://movies.disney.com/the-three-musketeers,10057
410,the truman show,The Truman Show,Not available,37165
411,the truth about cats  dogs,The Truth About Cats & Dogs,Not available,8866
412,the untouchables,The Untouchables,Not available,117
413,the usual suspects,The Usual Suspects,http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,629
414,the wedding singer,The Wedding Singer,Not available,11003
415,the wizard of oz,The Wizard of Oz,http://thewizardofoz.warnerbros.com/,630
416,the wrong trousers,The Wrong Trousers,http://www.wallaceandgromit.com/films/the-wrong-trousers,531
417,theres something about mary,There's Something About Mary,http://www.aboutmary.com/,544
418,this is spinal tap,This Is Spinal Tap,Not available,11031
419,tin cup,Tin Cup,Not available,10478
420,titanic,Titanic,http://www.titanicmovie.com,597
421,to kill a mockingbird,To Kill a Mockingbird,Not available,595
422,tombstone,Tombstone,Not available,11969
423,tommy boy,Tommy Boy,Not available,11381
424,top gun,Top Gun,Not available,744
425,total recall,Total Recall,Not available,861
426,toy story,Toy Story,http://toystory.disney.com/toy-story,862
427,toy story 2,Toy Story 2,http://toystory.disney.com/toy-story-2,863
428,traffic,Traffic,Not available,1900
429,trainspotting,Trainspotting,http://www.miramax.com/movie/trainspotting/,627
430,true lies,True Lies,Not available,36955
431,true romance,True Romance,Not available,319
432,twelve monkeys,Twelve Monkeys,Not available,63
433,twister,Twister,Not available,664
434,unbreakable,Unbreakable,Not available,9741
435,unforgiven,Unforgiven,Not available,33
436,up,Up,http://disney.go.com/disneypictures/up/,14160
437,v for vendetta,V for Vendetta,http://vforvendetta.warnerbros.com/,752
438,vertigo,Vertigo,Not available,426
439,walle,WALL·E,http://disney.go.com/disneypictures/wall-e/,10681
440,wag the dog,Wag the Dog,Not available,586
441,waterworld,Waterworld,Not available,9804
442,waynes world,Wayne's World,Not available,8872
443,whats eating gilbert grape,What's Eating Gilbert Grape,Not available,1587
444,when harry met sally,When Harry Met Sally...,Not available,639
445,while you were sleeping,While You Were Sleeping,Not available,2064
446,who framed roger rabbit,Who Framed Roger Rabbit,Not available,856
447,willy wonka  the chocolate factory,Willy Wonka & the Chocolate Factory,Not available,252
448,witness,Witness,Not available,9281
449,xmen,X-Men,Not available,36657
450,x2,X2,Not available,36658
451,youve got mail,You've Got Mail,http://youvegotmail.warnerbros.com,9489
452,young frankenstein,Young Frankenstein,Not available,3034
